AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2023,1,MCA TELECOMUNICACIONES SAS,394,0
2023,1,RM TELECOMUNICACIONES MOMPOS S.A.S,384,0
2023,1,FIBRANETPLUS S.A.S.,1531,"0,02"
2022,2,DIRECTV COLOMBIA LTDA,158141,"1,79"
2023,1,ECOCONEX S.A.S,43,0
2023,1,NANO TECNOLOGY S.A.S.,987,"0,01"
2022,1,RED PLANET TELECOMUNICACIONES SAS,1978,"0,02"
2023,1,SOLUCIONES DIGITALES.COM S.A.S,128,0
2023,1,BIZNET S.A.S.,214,0
2023,1,VIMOX TECHNOLOGY AND SERVICE S.A.S.,592,"0,01"
2022,4,INTERNET Y TELEVISI�N DE COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA,1496,"0,02"
2023,1,COMUNICACIONES JERV SAS,65,0
2023,1,RURAL NET TELECOMUNICACIONES S.A.S,740,"0,01"
2022,2,DIGITAL COAST S.A.S.,2572,"0,03"
2023,1,"SISTEMAS, TELECOMUNICACIONES & SEGURIDAD S.A.S",25,0
2022,3,GLOBICNET S.A.S,57,0
2023,1,SOMOS NETWORKS COLOMBIA S.A.S. BIC,7902,"0,09"
2022,1,SINERGY SOLUCIONES INTEGRALES S.A.S,4863,"0,05"
2023,1,AZIMUTH CORP S.A.S,912,"0,01"
2023,1,BLU TELECOMUNICACIONES S.A.S.,991,"0,01"
2023,1,RURALINK S.A.S,58523,"0,65"
2022,4,COGENT COLOMBIA S.A.S,2,0
2023,1,CABLE Y TV  YOPAL S.A.S. INTERNET INALAMBRICO,5042,"0,05"
2022,4,INFOTERRA S.A.S,335,0
2022,1,INTERCONNECT THE WEB SAS,57,0
2023,1,SERVISOLUCIONES J.M. S.A.S.,174,0
2022,4,VITACOM DE COLOMBIA SAS,37,0
2023,1,SYSTEL COMUNICACIONES CARTAGO S.A.S.,3647,"0,04"
2023,1,PEDRO ALBERTO DELGADO REYES E.U.,410,0
2022,1,CABLEMAS S.A.S,16543,"0,18"
2023,1,SOLUCIONES & ASESORIAS EN INGENIERIA LIMITADA,3,0
2020,3,UNE EPM TELECOMUNICACIONES S.A.,1594920,"20,71"
2023,1,SERVICIOS PROFESIONALES WICOM S.A.S,3712,"0,04"
2022,4,SIGMA TELECOMUNICACIONES SAS,548,"0,01"
2023,1,CONECTA2 COLOMBIA S.A.S.,145,0
2023,1,EDCOM TELECOMUNICACIONES S.A.S.,881,"0,01"
2023,1,VIBO COMUNICACIONES S.A.S,49,0
2023,1,RED ONLINE MST S.A.S.,1,0
2023,1,SOPORTEC SOCIEDAD POR ACCIONES SIMPLIFICADA,1,0
2023,1,CAM NETWORK SOLUCIONES S.A.S,1174,"0,01"
2023,1,CONEXXION WI-FI LTDA,1215,"0,01"
2023,1,COLOMBIA CONECTA MULTIREDES SAS,270,0
2023,1,I3NET S.A.S.,3,0
2022,1,ENLAZAR COMUNICACIONES S.A.S,1233,"0,01"
2023,1,CONEXION R&G S.A.S.,615,"0,01"
2022,2,RAPILINK S.A.S.,1334,"0,02"
2023,1,AFCV COMUNICACIONES SAS,638,"0,01"
2020,3,SIGMA TELECOMUNICACIONES SAS,545,"0,01"
2022,2,NATIONAL INTERDATA S.A.S.,93,0
2023,1,INTERCONETXIONES FTTH S.A.S,440,0
2022,1,CITYNET ISP SAS,432,0
2023,1,COLTEG COMUNICACIONES S.A.S,135,0
2023,1,INTERVID TELECOMUNICACIONES S.A.S.,332,0
2023,1,CAMPOCOM SAS,603,"0,01"
2023,1,JEFFERSON AFE S.A.S,832,"0,01"
2023,1,MANAR.NET S.A.S.,84,0
2023,1,PROVEEDOR DE TELECOMUNICACIONES SAS,1781,"0,02"
2023,1,TUNET-WORK S.A.S.,1467,"0,02"
2023,1,INTERLAM TELECOMUNICACIONES SAS,355,0
2023,1,COMPA�IA DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION S.A.S.,56,0
2021,4,INFOTERRA S.A.S,254,0
2023,1,BIOS INGENIERIA S.A.S,280,0
2020,4,INTERCONNECT THE WEB SAS,6,0
2023,1,ATLAS NETWORK SAS,271,0
2023,1,PROVINET TELECOMUNICACIONES SAS,826,"0,01"
2023,1,MERNAHF SAS,755,"0,01"
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,1230778,"14,13"
2023,1,CONEXION COMERCIALIZACION DE SERVICIOS DE TELECOMUNICACIONES EMPALMERIA Y CONSTRUCCION DE REDES HFC DEL SUR COLOMBIA SAS,2039,"0,02"
2023,1,ABIEL.NET SAS,120,0
2023,1,TELECOMUNICACIONES FACILRED FJM S.A.S. ZOMAC,555,"0,01"
2021,4,SIGMA TELECOMUNICACIONES SAS,540,"0,01"
2023,1,FRONTLINE SOLUCIONES S.A.S,2,0
2023,1,FAST NET COMUNICACIONES ISP SAS,611,"0,01"
2023,1,T&T TECNOLOGIAS S.A.S ZOMAC,211,0
2023,1,GRUPO EMPRESARIAL MIDEAS COLOMBIA SAS,625,"0,01"
2023,1,VERIZON COLOMBIA S.A. - VERIZON BUSINESS,90,0
2023,1,TELECCO S.A.S.,1803,"0,02"
2022,1,SUPERREDES SAS,11593,"0,13"
2023,1,INTERCOM SOLUCIONES TECNOLOGICAS SAS,2236,"0,02"
2022,1,CABLE CAUCA COMUNICACIONES SA,4175,"0,04"
2023,1,ENIGMA IMCT SAS,650,0
2023,1,JHON JAIRO MESA MESA E INGENIEROS ASOCIADOS SAS  JJMMELECTRONICS S.A.S.,1494,"0,01"
2023,1,WISP SUCRE S.A.S.,207,0
2023,1,ZII TELECOMUNICACIONES S.A.S,1771,"0,02"
2023,1,SIMPLE COMUNICACIONES SAS,2796,"0,03"
2023,1,RODRIGO CUSHCAGUA OYAGATA,21,0
2023,1,INFRACOM INFRAESTRUCTURA EN TELECOMUNICACIONES S.A.S,555,"0,01"
2023,1,UHF COMUNICACIONES SAS,1250,"0,02"
2023,1,B GROUP INGENIERIA S.A.S,1351,"0,01"
2023,1,CYBERNET INTERNET RURAL S.A.S.,117,0
2023,1,RIE SOLUCIONES SAS,1224,"0,01"
2023,1,CONECTA COMUNICACIONES SAS,850,"0,01"
2023,1,FABRIMETAL ARROYAVE S.A.S.,688,"0,01"
2022,3,VITACOM DE COLOMBIA SAS,37,0
2023,1,COLOMBIATEL TELECOMUNICACIONES S.A.S.,5436,"0,06"
2023,1,GRUPO BELCOM DE COLOMBIA S A S,253,0
2023,1,AJ GLOBAL PROYECTOS NET S.A.S.,866,"0,01"
2023,1,KABLE NET J & J S.A.S.,378,0
2023,1,WIFAO COLOMBIA S.A.S.,293,0
2023,1,CONNECT TELECOMUNICACIONES SAS,803,"0,01"
2022,2,COGENT COLOMBIA S.A.S,4,0
2023,1,IT. TECHNOLOGY R&M S.A.S.,66,0
2023,1,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,5156,"0,06"
2023,1,CABLENET DEL SUR TELECOMUNICACIONES SAS,800,"0,01"
2022,1,NAVEGAMAS TELECOMUNICACIONES S.A.S.,135,0
2022,3,TEVECOM SAS,2054,"0,02"
2023,1,GAME INC,515,"0,01"
2023,1,TUCABLE S.A.S.,5322,"0,06"
2023,1,SINERGIA SOLUTIONS S.A.S.,803,"0,01"
2023,1,RIONEGRO TELECOMUNICACIONES S.A.S.,255,0
2023,1,PLEXTEL COMUNICACIONES SAS,280,0
2022,4,RED-INALSOLUCIONES SAS,402,0
2023,1,CABLE CAUCA COMUNICACIONES SA,5067,"0,05"
2023,1,LOGISTICA INTEGRAL SATELITAL S.A.S.,11718,"0,13"
2023,1,OSZANET TELECOMUNICACIONES SAS,368,0
2023,1,NOVANET DIGITAL S.A.S,12,0
2023,1,ELEMEING S.A.S,623,"0,01"
2023,1,SOLUCIONES ISP Y COMUNICACIONES SAS,412,0
2022,3,CATV NETWORK LATAM S.A.S,1009,"0,01"
2022,1,LECARVIN SAS,348,0
2023,1,RED PLANET TELECOMUNICACIONES SAS,2029,"0,02"
2023,1,OPTICLINE PLUS TELECOMUNICACIONES S.A.S.,335,0
2023,1,TELNEX S.A.S,55,0
2022,1,TV AZTECA SUCURSAL COLOMBIA,286,0
2022,1,IRP - ONE S.A.S,214,0
2023,1,INTERNORTE COMUNICACIONES S.A.S,4,0
2022,1,LIBRE TECNOLOGIA SAS,24,0
2023,1,TELCAD DIGITAL TV COMUNICACIONES SAS,221,0
2023,1,BOR - CONEXIONES S A S,2576,"0,03"
2023,1,VIP SERVICIOS INTELIGENTES S.A.S,217,0
2022,2,IRP - ONE S.A.S,232,0
2023,1,ALIANZA SERVICIOS TECNOLOGICOS SAS,409,0
2022,1,INTERPLUS TELECOMUNICACIONES SAS,1345,"0,02"
2020,3,INTEGRATEC COMUNICACIONES S.A.S,148,0
2023,1,TV INTERR COMUNICACIONES S.A.S.,51,0
2023,1,ZABUD NET S.A.S.,530,"0,01"
2022,1,RM TELECOMUNICACIONES MOMPOS S.A.S,430,0
2022,2,ANDITEL S.A.S,25,0
2022,1,SERVISOLUCIONES J.M. S.A.S.,0,0
2023,1,SUCRE NET SOLUCIONES SAS,115,0
2022,2,SIGMA TELECOMUNICACIONES SAS,545,"0,01"
2023,1,PENTAS NETWORKS SAS,193,0
2023,1,DIGITALINTER S.A.S.,156,0
2023,1,TELECOMUNICACIONES ARGENTINA SAS,480,"0,01"
2023,1,SERVICONECTION SAS,541,"0,01"
2023,1,SARDINATA NETWORKS SAS,161,0
2023,1,ASOCIACION ANTENA PARABOLICA EL SALADO,508,"0,01"
2023,1,SUNNOVA SAS,972,"0,01"
2023,1,REDES.COM INTERNET BANDA ANCHA S.A.S,280,0
2023,1,ELITE ON LINE SAS,159,0
2023,1,CODISERT S.A.,16472,"0,18"
2023,1,INTERCOM TELECOMMUNICATIONS SAS,141,0
2022,4,TELE NET CARIBE S.A.S.,156,0
2023,1,TELE NET CARIBE S.A.S.,164,0
2022,1,NEIA SAS,880,"0,01"
2023,1,ZONA WIFI INTERNETJHONF S.A.S,683,"0,01"
2023,1,MAS NET S.A.S,1219,"0,01"
2022,1,REDESBOL.TV SAS,220,0
2023,1,IMPAR T.V S.A.S,1958,"0,02"
2023,1,SUPER WOW COLOMBIA S.A.S.,1410,"0,02"
2022,1,INTERLANS S.A.S.,3496,"0,04"
2022,4,CATV NETWORK LATAM S.A.S,996,"0,01"
2023,1,RIS TELECOMUNICACIONES RED INALAMBRICA SATELITAL SAS,7,0
2023,1,WISP TELECOMUNICACIONES SAS,2172,"0,02"
2023,1,BITELEC S.A.S,7,0
2023,1,CANO&CANOS S.A.S,971,"0,01"
2023,1,AMETRONIC COMUNICACIONES SAS,11,0
2023,1,ANS COMUNICACIONES LTDA,23,0
2023,1,DESARROLLOS Y REDES S.A.S.,1648,"0,02"
2022,1,CABLETRONICS SAS,12,0
2023,1,BT COLOMBIA LTDA.,8,0
2022,1,DIALNET DE COLOMBIA S.A   ESP.,107456,"1,24"
2023,1,INFINITELCOM SOLUCIONES S.A.S,484,"0,01"
2023,1,INTERCONNECT THE WEB SAS,45,0
2022,1,SPACE INFINITE TESLA SAS,24,0
2023,1,GESTIONAR COMUNICACIONES S.A.S.,2,0
2022,1,SOTO RED S.A.S.,430,0
2022,1,DIRECTV COLOMBIA LTDA,164829,"1,89"
2020,3,TV Y COMUNICACIONES J.L. S.A.S.,610,"0,01"
2023,1,DRG-SOLUCIONES SAS,112,0
2022,3,LD LUCIANA TELECOMUNICACIONES S.A.S,918,"0,01"
2023,1,NEIA SAS,262,0
2023,1,A&S SOLUCIONES S.A.S,245,0
2023,1,ASOCIACION COMUNITARIA DE TELECOMUNICACIONES,1727,"0,02"
2023,1,TV CABLE EL CENTRO SAS,1123,"0,01"
2023,1,SOCIEDAD INFINITY NETWORKS SAS,402,0
2023,1,CONECTATE COMUNICACIONES DEL PACIFICO S.A.S,18,0
2023,1,NEXT CONNECTION S.A.S,36,0
2023,1,COMPA�IA INTEGRAL DE RECURSOS EN TELECOMUNICACIONES SAS,1184,"0,01"
2022,4,MACRODESK COMUNICACIONES S.A.S,530,0
2022,4,REDES INTERACTIVAS GROUP SAS,3968,"0,04"
2022,2,DM SOLUCIONES TELEMATICAS S.A.S,244,0
2022,3,CONSULNETWORKS S.A. E.S.P.,615,0
2023,1,ASOCIACION COMUNITARIA ANTENA PARABOLICA SAN VICENTE,336,0
2022,1,BIOCONEXION DIGITAL SAS,435,0
2023,1,POWERLINK TELECOMUNICACIONES S.A.S,12,0
2023,1,SP SISTEMAS PALACIOS LTDA.,14805,"0,16"
2022,3,ENLAZAR COMUNICACIONES S.A.S,1352,"0,01"
2022,1,NANO TECNOLOGY S.A.S.,954,"0,01"
2023,1,WIFIMAX NETWORK S.A.S,140,0
2022,1,SERVICIOS DE CONECTIVIDAD S.A.S.,159,0
2023,1,COOPERATIVA DE SERVICIOS PUBLICOS SONSON LTDA SERVICOOPS E.S.P.,1290,"0,01"
2023,1,MAXCOMUNICACIONES S.A.S,235,0
2023,1,COSMONET COMUNICACIONES COLOMBIA S.A.S.,458,"0,01"
2023,1,UNITIK INTERNET SIN LIMITE S.A.S,76,0
2023,1,QME V SOLUCIONES TECNOLOGICAS SAS,59,0
2022,1,DISTRICABLES LTDA,432,0
2023,1,EASY NETWORKS S.A.S,7,0
2023,1,FIBRANET SAS,1001,"0,01"
2023,1,REDES TV SAT S.A.S,1332,"0,01"
2022,2,VITACOM DE COLOMBIA SAS,37,0
2023,1,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,1616,"0,02"
2022,1,SP SISTEMAS PALACIOS LTDA.,11648,"0,13"
2023,1,INTERNET FLASHNET S.A.S.,225,0
2022,1,SIMPLE COMUNICACIONES SAS,2678,"0,03"
2023,1,HOME TV COMUNICACIONES S.A.S.,2516,"0,03"
2022,2,GARDEN TECHNOLOGY SAS,7083,"0,07"
2022,2,ANS COMUNICACIONES LTDA,21,0
2023,1,SERVIRED LMA COMUNICACIONES SAS,409,0
2022,1,FAST NET COMUNICACIONES ISP SAS,609,"0,01"
2023,1,COMUNICACIONES REDES Y ENLACES SAS,2110,"0,02"
2023,1,CABLE NET UNIVERSAT S.A.S,907,"0,01"
2023,1,COVINET INGENIERIA SAS,464,"0,01"
2023,1,ASISTENCIA COMUNICACIONES S.A.S,2311,"0,02"
2023,1,UNICABLE H.D. SAS,9742,"0,11"
2021,4,INTEGRATEC COMUNICACIONES S.A.S,347,0
2023,1,CABLELINEA S.A.S.,5176,"0,06"
2023,1,INGENIERIA ENERGIAS & TELECOMUNICACIONES BALCOM SAS,472,0
2023,1,GLOBICNET S.A.S,90,0
2023,1,INTERTEL SATELITAL S.A.S,1030,"0,01"
2023,1,GENESIS DATA LTDA,473,0
2023,1,"INTEL SOLUCIONES Y SERVICIOS S.A.S. ""INTEL S&S S.A.S""",150,0
2023,1,INTEGRATEC COMUNICACIONES S.A.S,492,"0,01"
2022,3,INTEGRATEC COMUNICACIONES S.A.S,448,"0,01"
2023,1,ALFASURT TV CABLE SAS.,1651,"0,02"
2023,1,INTER CONEXIONES R Y L S.A.S,24,0
2022,1,CABLENETWORK COMUNICACIONES S.A.S.,354,0
2022,4,SUN COMUNICACIONES S.A.S,952,"0,01"
2023,1,SERVIREDES CALI SAS,334,0
2022,1,WIMCO INTERNET COLOMBIA SAS,496,"0,01"
2023,1,IO SUPPLY S.A.S.,514,"0,01"
2023,1,STARCLICK COMUNICACIONES S.A.S.,123,0
2023,1,HOSTDIME.COM.CO S.A.S.,4,0
2022,2,ROYALNET TELECOMUNICACIONES SAS,1589,"0,02"
2023,1,EMPRESA DE TECNOLOG�A Y COMUNICACIONES 7 S.A.S ZOMAC,152,0
2023,1,GC HOGAR.NET S.A.S.,114,0
2022,3,SERVICIOS TECNOLOGICOS DEL CHOCO S.A.S,56,0
2023,1,TELESABANA - TELECOMUNICACIONES S.A.S,281,0
2022,1,BT COLOMBIA LTDA.,10,0
2023,1,PLUSNET SOLUCIONES TECNOLOGICAS S.A.S.,10,0
2022,1,FASTNET INTERNET PARA TODOS S.A.S,372,0
2023,1,P & B COMUNICACIONES S.A.S.,433,0
2023,1,RADIONET SOLUCIONES S.A.,879,"0,01"
2023,1,GTEL TELECOMUNICACIONES S.A.S.,725,"0,01"
2023,1,INTER T.V. S.A.S,2974,"0,03"
2022,1,CAFETEL TV SAS,1028,"0,01"
2022,1,COMUNICACIONES SISTEMATIZADAS DEL META SAS,1523,"0,02"
2023,1,ASOCIACION COMUNITARIA ANTENA PARABOLICA SAN RAFAEL,419,0
2023,1,INTEDCOL SAS,244,0
2022,2,PUNTO RED TELECOMUNICACIONES S.A.S,1819,"0,02"
2022,1,UNICABLE H.D. SAS,4657,"0,05"
2023,1,IP COMUNICACIONES DEL VALLE ZOMAC S.A.S,285,0
2022,1,TV INTERR COMUNICACIONES S.A.S.,275,0
2023,1,LAN REDES S.A.S,467,"0,01"
2023,1,SERVIRED 3D SAS,593,0
2023,1,WILQUAY COMUNICACIONES 1973 S.A.S,106,0
2023,1,S3 SIMPLE SMART SPEEDY S.A.S.,145,0
2023,1,CABLENETWORK COMUNICACIONES S.A.S.,399,0
2023,1,TELENEXT COMUNICACIONES SAS,11,0
2023,1,RA COSMOS TELECOMUNICACIONES S.A.S.,578,"0,01"
2023,1,PLANET TELECOM COLOMBIA S.A.S.,1229,"0,01"
2022,3,SISTEMAS AVANZADOS EN TELECOMUNICACIONES S.A.S,4196,"0,04"
2023,1,DISTRIBUIDORA COMERCIALIZADORA Y LOGISTICA DCL S.A.S,273,0
2023,1,SIENERCOM COLOMBIA SAS,41,0
2023,1,GEDCOM S.A.S,307,0
2023,1,AUMRED SAS,19,0
2023,1,ASOCIACION DE COPROPIETARIOS DEL SISTEMA DE TELECOMUNICACIONES VILLAPINZON,65,0
2023,1,TECNOLOGIAS MERCATECH S.A.S,865,"0,01"
2023,1,CORPORACION CIVICA PROGRESAR,700,"0,01"
2023,1,GRUPO SERVINET S.A.S.,940,"0,01"
2023,1,TECH SYSTEM PLUS TELECOMUNICACIONES SAS,703,"0,01"
2023,1,JECBSOLUTIONS SAS,308,0
2023,1,MUNDO + S.A.S,6134,"0,07"
2022,1,CABLE Y TV  YOPAL S.A.S. INTERNET INALAMBRICO,5243,"0,06"
2023,1,REMG INGENIERIA SAS,112,0
2022,3,CAFENET COMUNICACIONES S.A. CAFENET S.A.,716,"0,01"
2022,1,RURALINK S.A.S,41140,"0,47"
2023,1,INVERSIONES Y SUMINISTROS DEL ARIARI LIMITADA,1093,"0,01"
2023,1,OPP TELECOMUNICACIONES S.A.S,35,0
2023,1,RAPILINK S.A.S.,1543,"0,02"
2023,1,ARDCLANET S.A.S,199,0
2022,1,TECNISOLUCIONES DENAR SAS,186,0
2023,1,REDES OPERACIONES Y CONTROL S A S,528,"0,01"
2022,1,INFOTERRA S.A.S,250,0
2023,1,PRODITEL SAS,425,0
2023,1,GLOBALWIFI SAS,846,"0,01"
2023,1,ISP PROVEEDOR DE SERVICIOS DE INTERNET S.A.S,1023,"0,01"
2020,3,INTERCONNECT THE WEB SAS,6,0
2023,1,UNICOM S.A.S.,661,"0,01"
2023,1,TELCAB S.A.S,131,0
2022,1,DIGITAL COAST S.A.S.,1635,"0,01"
2022,1,DM SOLUCIONES TELEMATICAS S.A.S,213,0
2022,3,CONECTA COMUNICACIONES SAS,736,"0,01"
2023,1,ZABUD TECHNOLOGIES S.A.S,693,"0,01"
2020,3,INFOTERRA S.A.S,168,0
2023,1,INTESOGAMOSO COMUNICACIONES S.A.S,262,0
2023,1,S.A TELECOMUNICACIONES FINET S.A.S.,82,0
2023,1,GLOBAL NET TV ZOMAC S.A.S,133,0
2022,1,C & C VISION S.A.S.,3900,"0,04"
2023,1,INFINITY COMPANY S.A.S,21,0
2023,1,SEPCOM COMUNICACIONES SAS,587,"0,01"
2022,2,EYON RV S.A.S,102,0
2023,1,SINTEL ISP SAS,68,0
2023,1,SUMINISTRO LA SIERRA S.A.S,95,0
2022,1,LD LUCIANA TELECOMUNICACIONES S.A.S,1460,"0,02"
2023,1,CONSULTORIA Y CONEXIONES S.A.S.,21,0
2023,1,CAFETEL TV SAS,920,"0,01"
2023,1,BETEL SOLUCIONES S.A.S.,5063,"0,06"
2023,1,WIFI ALTERNATIVO VALLE S.A.S,535,"0,01"
2022,1,SRG TELECOMUNICACIONES SAS,155,0
2023,1,SSI SERVICIOS Y SOLUCIONES DE INGENIERIA SAS,82,0
2023,1,REYMON CONEXIONES S.A.S ZOMAC,2,0
2023,1,CONNECTION TELECOMUNICACIONES ISP S.A.S,874,"0,01"
2023,1,ONLINE.NET.C SAS,517,"0,01"
2021,3,SIGMA TELECOMUNICACIONES SAS,543,"0,01"
2023,1,EYON RV S.A.S,99,0
2023,1,AXESAT S.A.,1778,0
2023,1,CIBERFIBRA S.A.S,36,0
2023,1,TURBO REDES TELECOMUNICACIONES S.A.S.,792,"0,01"
2022,1,TPE COMUNICACIONES COLOMBIA SAS,1913,"0,02"
2023,1,FIBERNET ISP ZOMAC SAS,484,"0,01"
2023,1,URBAN COMUNICACIONES S.A.S,21,0
2023,1,SERVICIOS Y TELECOMUNICACIONES DEL PACIFICO - SERTELPAC S.A.S ZOMAC,3,0
2023,1,INTERCOM COLOMBIA LTDA,68,0
2023,1,ASOCIACION COMUNITARIA PARABOLICA GRANADA,3050,"0,03"
2022,2,DEVELOPMENT OF BIG TECHNOLOGIES - DOBIT S.A.S.,116,0
2023,1,LINAGE COMUNICACIONES SAS,113,0
2023,1,SISTEMA DE COMUNICACIONES SISTECOM S.A.S.,112,0
2022,1,STRATEGIC TECHNOLOGICAL DE COLOMBIA LTDA,741,"0,01"
2022,3,ROYALNET TELECOMUNICACIONES SAS,1627,"0,02"
2022,1,GLOBICNET S.A.S,50,0
2023,1,CONVERGENCIA DIGITAL S.A.S.,206,0
2023,1,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,305,0
2023,1,CONECTANDO FRONTERAS S.A.S,828,"0,01"
2023,1,SUPERFIBRAS COLOMBIA SAS,2052,"0,02"
2022,1,ENERGIA INTEGRAL ANDINA S.A.,33090,"0,38"
2023,1,CONEXION WISP S.A.S,144,0
2023,1,REDECONES DE OCCIDENTE S.A.S.,26,0
2023,1,CABLE NAR S.A.S.,77,0
2022,2,FASTNET INTERNET PARA TODOS S.A.S,378,0
2023,1,O2 ONLINE SAS,1457,"0,01"
2022,3,TELE NET CARIBE S.A.S.,106,0
2023,1,RED DIGITAL TELECOMUNICACIONES S.A.S.,399,0
2022,2,GLOBICNET S.A.S,53,0
2023,1,ASOCIACION CIVICA ANTENA PARABOLICA AGUADAS,527,"0,01"
2023,1,TORNET COMUNICACIONES S.A.S,853,"0,01"
2022,1,CONSULNETWORKS S.A. E.S.P.,743,"0,01"
2021,2,COMUNICACION CELULAR S A COMCEL S A,3209411,"38,64"
2023,1,SKY SOLUCIONES TECNOL�GICAS S.A.S,132,0
2023,1,ENTRE RED CONECTANDO EXPERIENCIAS S.A.S,282,0
2023,1,EMPRESA DE INTERNET Y TELEVISION SE�AL MAS S.A.S.,81,0
2022,1,XPERTIC S.A.S.,13,0
2023,1,ASOCIACI�N ANTENA PARAB�LICA DEL SOCORRO,1055,"0,01"
2023,1,BLUE TRADERS SAS,560,"0,01"
2023,1,CAQUEZA TV Y TELECOMUNICACIONES SAS,341,0
2023,1,ALTITUD STUDIOS S A S,613,"0,01"
2022,2,ENERGIA INTEGRAL ANDINA S.A.,31451,"0,36"
2023,1,REDES INTERACTIVAS GROUP SAS,1425,"0,02"
2023,1,PLAZA RED SOLUCIONES INTEGRALES,207,0
2023,1,CYDETEL TELECOMUNICACIONES SAS,612,"0,01"
2023,1,SUPERCABLE TELECOMUNICACIONES SAS,2350,"0,03"
2022,4,INTRANET COMUNICACIONES Y SERVICIOS SAS,36,0
2020,4,CABLE EXPRESS DE COLOMBIA LTDA,821,"0,01"
2023,1,ONLINE TELECOMUNICACIONES.COM S.A.S.,110,0
2023,1,CABLEANTEL S.A.S.,146,0
2021,4,CABLE EXPRESS DE COLOMBIA LTDA,925,"0,01"
2023,1,FW TELECOMUNICACIONES ZOMAC S.A.S,108,0
2023,1,SUPERTV ELECTRONIC LTDA,12004,"0,13"
2023,1,REAL INNOVACION EN EL DESARROLLO TECNICO BARRANCABERMEJA SANTANDER S.A.S,232,0
2023,1,TUFIBRA GRUPO EMPRESARIAL S.A.S.,115,0
2023,1,SOTO NORTE DIGITAL S.A.S ZOMAC,294,0
2023,1,EMPRESA DE TELECOMUNICACIONES DE LA COSTA - COSTATEL S.A ESP,10,0
2023,1,NETTWINS S.A.S.,82,0
2023,1,ARM TELECOMUNICACIONES SAS,39,0
2023,1,EASY NETWORK REDES Y TELECOMUNICACIONES SAS,12,0
2023,1,GLOBALNET INGENIERIA SAS,895,"0,01"
2023,1,NOVA TELECOMUNICACIONES S. A. S.,779,"0,01"
2023,1,INFORMACION Y TECNOLOGIA S.A.,18,0
2022,4,A&S SOLUCIONES S.A.S,219,0
2023,1,VALLE TELECOMUNICACIONES SAS,1467,"0,02"
2023,1,ISP FIBRA NET S.A.S.,135,0
2023,1,FIBER NET COMUNICACI�N SUPERIOR S.A.S,223,0
2023,1,OSPIREDES S.A.S,439,0
2022,1,FIBERTEC CONEXION S.A.S,430,0
2023,1,WINS SOLUCIONES SAS,70,0
2023,1,PRODUCTOS INFORMATICOS DE COLOMBIA - PIDECOL S.A.S.,512,"0,01"
2023,1,INFOTERRA S.A.S,324,0
2023,1,CR.ISP TELECOMUNICATION PROVIDER S.A.S.,667,"0,01"
2023,1,LA CORPORACION PRO ACODEMA,2791,"0,03"
2023,1,INTERCOMM DE NARI�O SAS,2570,"0,03"
2023,1,YTV COMUNICACIONES S.A.S,332,0
2023,1,TIVIT COLOMBIA DC TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S.A.S,2,0
2021,4,CELLVOZ COLOMBIA SERVICIOS INTEGRALES S A E S P,1,0
2023,1,UFINET COLOMBIA S.A,1792,0
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,685367,"7,83"
2023,1,MULTISERVICIOS DIAMANTE S.A.S,117,0
2023,1,TIC SAN LUIS S.A.S,282,0
2023,1,UFICOL SAS,20,0
2023,1,SISTELME SAS,877,"0,01"
2023,1,IST INGENIERIA Y SOLUCIONES TECNOLOGICAS S.A.S,207,0
2023,1,U2RED S.A.S,108,0
2023,1,TV ISLA LTDA,2429,"0,03"
2023,1,NETWORK-TICS SAS,111,0
2023,1,MAXTECHNOLOGY COMUNICACIONES S.A.S,338,0
2023,1,SERVICIOS TECNOLOGICOS DEL CHOCO S.A.S,65,0
2023,1,PROMOTORA DE TELEVISION. INTERNET Y COMUNICACIONES SAS,3712,"0,04"
2023,1,LEVEL9 TELECOMUNICACIONES S.A.S,190,0
2023,1,AIM CONNECT SAS,116,0
2023,1,DIFUDATOS S A S,2395,"0,03"
2022,1,UNICOM S.A.S.,439,"0,01"
2023,1,CARIBETECH S.A.S.,743,"0,01"
2022,1,LOGISTICA INTEGRAL SATELITAL S.A.S.,10910,"0,12"
2021,3,INTERCONNECT THE WEB SAS,35,0
2023,1,WIRED S.A.S.,78,0
2023,1,MAX INTER FIBRA S.A.S.,63,0
2023,1,ENERGIA Y SEGURIDAD GLOBAL COMPANY S.A.S,416,0
2022,2,SERVISOLUCIONES J.M. S.A.S.,8,0
2023,1,CONEXION URRAO S.A.S,136,0
2020,4,TV Y COMUNICACIONES J.L. S.A.S.,610,"0,01"
2023,1,RED UNO S.A,6,0
2023,1,L.C COMUNICACIONES E U,562,"0,01"
2022,3,PUNTO RED TELECOMUNICACIONES S.A.S,1887,"0,02"
2023,1,INGENIERIA GPON TV S.A.S,504,"0,01"
