AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2022,3,MEDIACAST BROADBAND SAS,965,"0,01"
2021,2,BT COLOMBIA LTDA.,38,0
2021,4,CORPORACION ANTENA PARABOLICA VECINOS DE LOS BARRIOS FRANCISCO ANTONIO ZEA Y AL,100,0
2022,3,OV TV TELECOMUNICACIONES SAS,1075,"0,01"
2022,1,ASOCIACION COMUNITARIA DE TELEVISION POR CABLE ACOTV SIMIJACA,1051,"0,01"
2021,1,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,1609,"0,02"
2022,3,DISTRICABLES LTDA,424,0
2022,1,CAMPO VIRTUAL VELOCIDAD SIMETRICA PARA TODOS SAS,7,0
2021,1,INTER FIBRA SAS E.S.P.,426,"0,01"
2021,4,WANBRIDGE SAS,878,"0,01"
2022,3,INTERCOM COLOMBIA LTDA,67,0
2022,3,TEXEL GROUP S.A.S.,27,0
2021,1,1NITEC S.A.S.,74,0
2022,3,MICEL COMUNICACIONES S.A.S,84,0
2021,2,"ATYCO - ASESORIAS, TECNOLOGIA Y COMUNICACIONES S.A.S",606,"0,01"
2021,2,MAS NET S.A.S,115,0
2021,4,EXPRES SISTEMAS COMUNICACIONES SAS,8,0
2022,3,CONECTATE CALI S.A.S,92,0
2021,4,REDESBOL.TV SAS,296,0
2020,4,SISTELEC LTDA,302,0
2021,2,TEKCOM TECNOLOGIA Y COMUNICACIONES SAS,655,"0,01"
2023,2,SOFIVER SAS,177,0
2021,1,JASZ COMUNICACIONES TECNOLOGICAS E INTERACTIVAS E U,169,0
2021,2,GMARTEL SOLUCIONES INTEGRALES Y TELECOMUNICACIONES S.A.S,441,"0,01"
2021,3,SIES INGENIERIA Y COMUNICACIONES S.A.S,1,0
2021,2,REGIONAL DE SERVICIOS DE TELECOMUNICACIONES ZOMAC S.A.S,1011,"0,01"
2022,1,ASOCIACION DE COPROPIETARIOS DE TELEVISION COMUNITARIA DE LA UNION - VALLE UNITV,520,"0,01"
2021,2,ASOCIACION DE COPROPIETARIOS DE TELEVISION COMUNITARIA DE LA UNION - VALLE UNITV,753,"0,01"
2021,3,IT. TECHNOLOGY R&M S.A.S.,78,0
2020,3,LAN REDES S.A.S,90,0
2021,3,COTV@S TELECOMUNICACIONES S.A.S,41,0
2021,4,WORLD CONNECTIONS S.A.S.,1284,"0,02"
2020,4,ACERDI SOLUCIONES INTELIGENTE S.A.S,480,"0,01"
2022,3,SINTEL WISP S.A.S,1000,"0,01"
2021,4,SERKOI SERVICIOS DE CONECTIVIDAD INALAMBRICA SAS,790,"0,01"
2022,2,INVERSIONES Y COMUNICACIONES R.M. SAS,519,"0,01"
2021,1,ADMINISTRADORA DE REDES Y SERVICIOS ADMINRED S.A.S.,119,0
2022,3,PRODITEL SAS,288,0
2022,3,JHON JAIRO MESA MESA E INGENIEROS ASOCIADOS SAS  JJMMELECTRONICS S.A.S.,1424,"0,01"
2021,4,VPN INGENIER�A EN TELECOMUNICACIONES S.A.S.,1086,"0,01"
2020,4,GLOB@L SYSTEM WI FI,11,0
2021,1,FIBERCOM TV S.A.S,1279,"0,02"
2021,2,REDES F.OPTICAS S.A.S.,1077,"0,01"
2021,3,BT COLOMBIA LTDA.,36,0
2021,1,INTELCOM CALI SAS,826,"0,01"
2022,2,FCF COMUNICACIONES S.A.S.,1612,"0,02"
2022,4,CLICK HD COLOMBIA S.A.S.,0,0
2023,2,WISPER INTERNET INALAMBRICO S.A.S,82,0
2023,2,CONEXXION WI-FI LTDA,1215,"0,01"
2023,2,REDES INTERACTIVAS GROUP SAS,1449,"0,02"
2023,2,BETEL SOLUCIONES S.A.S.,5094,"0,06"
2023,2,TELECOMUNICACIONES E INTERNET DE COLOMBIA SAS,777,0
2023,2,SENCINET LATAM COLOMBIA S.A,153,0
2023,2,TV MAR COMUNICACIONES S.A.S.,690,"0,01"
2021,4,MEDIAWIRE TELECOMUNICACIONES S.A.S,1086,"0,02"
2022,3,SUPER WOW COLOMBIA S.A.S.,2058,"0,02"
2021,4,SOLUCIONES DIGITALES.COM S.A.S,407,0
2021,4,SYSTEMS AND COMMUNICATIONS S.A.S. - SYSCOM TECNOLOGIA S.A.S.,2262,"0,03"
2020,4,IT. TECHNOLOGY R&M S.A.S.,28,0
2022,2,LIBRE COMUNICACIONES SAS,352,0
2022,3,SERVICIOS INTEGRALES TELECOMUNICACIONES SAS,1199,"0,01"
2022,2,KALU DE COLOMBIA SAS,3686,"0,04"
2022,2,IP COMUNICACIONES Y TECNOLOGIA S.A.S,120,0
